" - Edit"," - Edit"
"",""
"Action","Action"
"Add Category","Add Category"
"Add Faq","Add Faq"
"An error occurred while updating the categories.","An error occurred while updating the categories."
"An error occurred while updating the faqs.","An error occurred while updating the faqs."
"Answer","Answer"
"Are you sure?","Are you sure?"
"CSV","CSV"
"Categories","Categories"
"Category was saved","Category was saved"
"Category was successfully deleted.","Category was successfully deleted."
"Category was successfully saved","Category was successfully saved"
"Category","Category"
"Change Category","Change Category"
"Change status","Change status"
"Could not find category to delete.","Could not find category to delete."
"Could not find faq to delete.","Could not find faq to delete."
"Created at","Created at"
"Delete Category","Delete Category"
"Delete Faq","Delete Faq"
"Delete","Delete"
"Disabled","Disabled"
"Edit Category '%s'","Edit Category '%s'"
"Edit Faq '%s'","Edit Faq '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving category","Error saving category"
"Error saving faq","Error saving faq"
"Excel","Excel"
"Faq was saved","Faq was saved"
"Faq was successfully deleted.","Faq was successfully deleted."
"Faq was successfully saved","Faq was successfully saved"
"Faq","Faq"
"Faqs","Faqs"
"Home","Home"
"Id","Id"
"Leave empty for no prefix","Leave empty for no prefix"
"Leave empty to use default URL module/controller/action","Leave empty to use default URL module/controller/action"
"No","No"
"None","None"
"Please select categories to delete.","Please select categories to delete."
"Please select categories.","Please select categories."
"Please select faqs to delete.","Please select faqs to delete."
"Please select faqs.","Please select faqs."
"Position","Position"
"Question","Question"
"Relative to Website Base URL","Relative to Website Base URL"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Category","Save Category"
"Save Faq","Save Faq"
"Status","Status"
"Store views","Store views"
"The URL key cannot consist only of numbers.","The URL key cannot consist only of numbers."
"The URL key contains capital letters or disallowed symbols.","The URL key contains capital letters or disallowed symbols."
"The categories has been deleted.","The categories has been deleted."
"The faqs has been deleted.","The faqs has been deleted."
"There was a problem saving the category.","There was a problem saving the category."
"There was a problem saving the faq.","There was a problem saving the faq."
"There was an error deleting categories.","There was an error deleting categories."
"There was an error deleting category.","There was an error deleting category."
"There was an error deleting faq.","There was an error deleting faq."
"There was an error deleting faqs.","There was an error deleting faqs."
"There was an error updating categories.","There was an error updating categories."
"There was an error updating faqs.","There was an error updating faqs."
"This category no longer exists.","This category no longer exists."
"This faq no longer exists.","This faq no longer exists."
"Total of %d categories were successfully deleted.","Total of %d categories were successfully deleted."
"Total of %d categories were successfully updated.","Total of %d categories were successfully updated."
"Total of %d faqs were successfully deleted.","Total of %d faqs were successfully deleted."
"Total of %d faqs were successfully updated.","Total of %d faqs were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"URL key already exists.","URL key already exists."
"URL key for list page","URL key for list page"
"URL key","URL key"
"URL prefix","URL prefix"
"URL suffix","URL suffix"
"Unable to find category to save.","Unable to find category to save."
"Unable to find faq to save.","Unable to find faq to save."
"Updated at","Updated at"
"Use Breadcrumbs","Use Breadcrumbs"
"View {#name}","View {#name}"
"WYSIWYG Editor","WYSIWYG Editor"
"What goes after the dot. Leave empty for no suffix.","What goes after the dot. Leave empty for no suffix."
"XML","XML"
"Yes","Yes"
"category Name","category Name"